Timestamp,UserID,CourseID,CourseNumber,CourseName,Workflow,InterestRating,UtilityRating,WorkloadRating,WorkloadHours,OverallRating,Comment,EmailHash,RowID
2025-08-06T04:51:00,208feaa6-e036-4acb-bb53-2bc7866e2d33,2802,2802,Automated Science Internship,"Completed coursework and final evaluation for Automated Science Internship, focusing on This course is for MSAS students interested in taking an internship for credit....",5,3,2,5,4,"I took the course ""Automated Science Internship"" because I'm interested in computer science and I wanted to learn how to use Python for data analysis. The course was challenging, but not too hard, and I learned a lot of new skills and techniques.",fa9c3b2b66824dc4a13dace7941c11f2adb072b43c4a414986c29f746d922b50,4e600970-afe5-4033-86c1-d458c00d34dc
2024-11-24T04:51:33,fa211a6b-2fdd-4188-a318-4ec52d7c7799,57386,57386,Collaborative Piano VI,"Completed coursework and final evaluation for Collaborative Piano VI, focusing on These are a series of courses which allow the student the opportunity to accumul...",5,3,3,11,4,"I decided to take the course ""Collaborative Piano VI"" because I wanted to get a solid foundation in the topic. The class was fairly time-consuming, especially around major assignments and exams, but the structure of the course helped me stay on track. Overall I feel like I learned a lot and the material will be useful for future classes and projects.",1bb7b52c135d48509f1434b22b6c54efd0165c22c8fe4131add9e51967e723bf,9f128a1e-ef33-40aa-8906-52b164214909
2025-03-16T04:51:35,f6ee890b-2bf8-4e2f-86e6-b527cbd1d765,21127,21127,Concepts of Mathematics,"Completed coursework and final evaluation for Concepts of Mathematics, focusing on This course introduces the basic concepts, ideas and tools involved in doing mat...",5,5,4,7,5,"I took the class ""Concepts of Mathematics"" because I wanted to improve my math skills and prepare for more advanced courses. The class was challenging but also rewarding, as it taught me the basic concepts and methods of mathematics.",121fe272b724418da152f82491d27ec84d3cde863ca84d878bca7b44eedd74aa,618b840c-cf14-49d8-bb58-954867abaf23
2025-09-29T04:51:50,6d75deb9-f441-4ff4-b0a5-a8854bfc06fa,21127,21127,Concepts of Mathematics,"Completed coursework and final evaluation for Concepts of Mathematics, focusing on This course introduces the basic concepts, ideas and tools involved in doing mat...",5,4,4,7,4,"I took this course because I wanted to improve my math skills and learn some new concepts. The course was challenging but rewarding, as it covered a lot of topics and gave me practice problems to work on.",13b559a80160401e8fbb74e158cdf31d93b49b2c5688489d8c5eb27a8b53ae73,96d38b7b-039b-43aa-abf1-c90923e9e4f1
2025-01-09T04:52:01,ffd47a65-3270-4862-be68-752665a1695b,54765,54765,Dance/Light,"Completed coursework and final evaluation for Dance/Light, focusing on A practical application of the knowledge and skills learned in Dance Lighting De...",4,3,4,11,3,"I took the course ""Dance/Light"" because I am interested in exploring how technology and movement can intersect.",9848c8996d4b4446b322e00a55b7dfb42d2c2e9e3a924ce2a36b1f489cf99d29,afef5020-4b12-45b2-b9ee-0c04bd1333cb
2025-01-10T04:52:31,9be92c98-9a10-405d-ac6d-ff1508fbad7d,93814,93814,Galleries and Auction Houses,"Completed coursework and final evaluation for Galleries and Auction Houses, focusing on This course explores the structures and dynamics of the for-profit art economy....",3,5,3,13,4,"I am taking the course ""Galleries and Auction Houses"" for my Art History class.",f4233444ba5346e2bfafb0e41ddcf8ab6caaa02ea24843009b56ca1692c367b0,eea07896-6016-4fc7-b219-d3160e1f8795
2025-08-13T04:52:33,26db7be7-68fc-4a5d-aa87-3d4376713f83,93814,93814,Galleries and Auction Houses,"Completed coursework and final evaluation for Galleries and Auction Houses, focusing on This course explores the structures and dynamics of the for-profit art economy....",5,5,2,10,5,"I took the course ""Galleries and Auction Houses"" because I was curious about the art world.",aa2127c2a8734ba0b2ad1b3bda17bdd5b8e22c1b2e024bf7878daa81df21bc94,ffed64b2-f0d0-4af1-b6de-8f9c33dcffd2
2024-11-18T04:52:57,3fba6862-70fd-4e67-b850-0884a411c176,93721,93721,Arts Management & Intellectual Property,"Completed coursework and final evaluation for Arts Management & Intellectual Property, focusing on Spring 2026 dates: Dates are January 24 and February 7th From 10:00 -3:00pm. Int...",4,5,5,14,4,"I took this class because I wanted to learn more about the creative industries and how to protect them from infringement. I found the course very interesting and informative, as it covered a lot of topics such as copyright, trademark, patents, and fair use.",cf0e73f643504b138218de019438ab25ddeb963223b74ce8b9d2112599ff25ca,7f45e680-6148-481b-a25f-b77d12d14220
2025-08-15T04:53:20,277b8b32-9160-493a-b5c9-0636a812b01c,93807,93807,Museum Operations,"Completed coursework and final evaluation for Museum Operations, focusing on Museums aim to preserve, present, and interpret arts, culture, science, history,...",4,5,4,13,5,"I decided to take the course ""Museum Operations"" because I wanted to get a solid foundation in the topic. The class was fairly time-consuming, especially around major assignments and exams, but the structure of the course helped me stay on track. Overall I feel like I learned a lot and the material will be useful for future classes and projects.",a4358d81d25340ecae64d9c80c571ee3724a4072e2ea484e8da8dc1c73980ee0,cf3d2825-0c7e-44f4-8753-67c53b10bc7e
2025-11-05T04:53:40,6ea6bdf8-592c-46b3-bb1d-d20ef4adb1ca,93812,93812,Presenting Performing Arts,"Completed coursework and final evaluation for Presenting Performing Arts, focusing on Presenters are cultural entities that facilitate exchange between audiences and...",4,5,3,13,4,"I took the Presenting Performing Arts course because I wanted to learn how to communicate more effectively about the arts. The course was challenging, but I felt like I learned a lot.",e8e517288b424d34bcb7a8d2d6d45b4a23511620dbf94ea4a5dea9d751c65eaa,752f741b-33a6-4ad6-a683-e1c0e4951aad
